스스로, self-care
Number	Korean Title	Age Range
1	병 잡고 마시기	5-8
2	기저귀 갈 때 엉덩이 들어주기	6-9
3	시피컵 연습	6.5-9.5
4	손가락 음식 스스로 먹기	7.5-10.5
5	스스로 숟가락 사용	12.5-14.5
6	간단한 뚜껑 열고 닫기	11.5-14.5
7	스스로 먹은 후 박수 치기	9-12
8	양말 벗기	12.5-15.5
9	칫솔 잡고 잇몸 문지르기	14.5-17.5
10	모자 쓰고 벗기	13.5-16.5
11	부드러운 빗으로 머리 빗기	18.5-21.5
12	수건으로 얼굴 닦기	16.5-19.5
13	빨대로 마시기	11.5-14.5
14	간식 두 가지 중 선택하기	13.5-16.5
15	인형이나 봉제 동물 먹여주기	18.5-21.5
16	작은 바구니나 장난감 들고 다니기	12-15
17	신발 신으려 시도	18.5-21.5
18	도움 받아 바지 올리기	20.5-23.5
19	천으로 테이블 닦기	19.5-22.5
20	쓰레기통에 쓰레기 버리기	20.5-23.5
21	엄마 손 닦는 감각 체험하기	3-6
22	수건으로 얼굴 가볍게 문질러 보기	4-7
23	입에 손 가져가며 수저 흉내 내기	5-8
24	기저귀 갈기 전 배변 신호 보이기	16.5-19.5
25	물컵에 입 대보며 마시는 흉내	6-9
26	세수 전 수건을 손에 쥐기	5.5-8.5
27	신발 벗고 보호자에게 내밀기	9.5-12.5
28	옷 벗기 도움받으며 팔 꺼내기	14.5-17.5
29	작은 수건 들고 얼굴에 대기	13.5-16.5
30	손톱깎이 보여주며 손 내밀기	17.5-20.5
31	장난감 정리함에 하나 넣기	14.5-17.5
32	물티슈로 손 닦기	19.5-22.5
33	혼자서 숟가락으로 퍼보려 시도	15.5-18.5
34	밥 먹기 전에 손 닦는 순서 기억하기	26.5-29.5
35	신발 정리장에 신발 올려두기	24.5-27.5
36	컵에 물 따르고 멈추기 연습	28.5-31.5
37	휴지로 코 닦기 시도	26.5-29.5
38	옷 벗을 때 팔 먼저 빼기	22.5-28.5
39	변기에 앉기 시도	옷입은채로
40	입은 옷 바구니에 넣기 놀이	22.5-25.5
41	간식 먹은 후 식탁 닦기	24.5-27.5
42	장난감 종류별 칸에 나눠 넣기	24.5-27.5
43	간식 전 물티슈로 손 닦기	19.5-22.5
44	물 흘리지 않고 컵에 따르기	28.5-31.5
45	물티슈 뽑아 테이블 닦기	22.5-27.5
46	손 씻고 수건으로 직접 닦기	24.5-27.5
47	가방 안에 필요한 물건 스스로 챙기기	28.5-31.5
48	속옷 바구니에서 꺼내 입기	30.5-33.5
49	작은 간식 접시에 덜어 먹기	26.5-29.5
50	사용한 수건 빨랫감 통에 넣기	22.5-25.5
51	옷 접어 서랍에 넣기 연습	30.5-33.5
52	혼자서 신발 벗고 신기 연습	31.5-34.5
53	세면대 수건 걸이에 수건 걸기	24.5-27.5
54	젖은 컵 닦기 놀이	28.5-31.5
55	가방 열고 손수건 꺼내기 연습	30.5-33.5
56	휴지로 볼 닦기 – 거울 앞 연습	28.5-31.5
57	젓가락 대신 포크 잡기 연습	25.5-28.5
